2023/10/17 16:11:58 [crit] 1980#15580: *4479 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/alt="website" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /alt=%22website HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/"
2023/10/17 16:11:58 [crit] 1980#15580: *4479 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/alt="website" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /alt=%22website HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/"
2023/10/17 16:17:12 [crit] 1980#15580: *5213 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/"
2023/10/17 16:17:12 [crit] 1980#15580: *5213 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/"
2023/10/17 16:17:25 [crit] 1980#15580: *5369 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=e0d31270-7095-44ef-9fef-d43dd58f1912&customize_theme=watsonstheme&customize_messenger_channel=preview-0"
2023/10/17 16:17:25 [crit] 1980#15580: *5369 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=e0d31270-7095-44ef-9fef-d43dd58f1912&customize_theme=watsonstheme&customize_messenger_channel=preview-0"
2023/10/17 16:17:25 [crit] 1980#15580: *5394 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=e0d31270-7095-44ef-9fef-d43dd58f1912&customize_theme=watsonstheme&customize_messenger_channel=preview-0"
2023/10/17 16:17:25 [crit] 1980#15580: *5394 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=e0d31270-7095-44ef-9fef-d43dd58f1912&customize_theme=watsonstheme&customize_messenger_channel=preview-0"
2023/10/17 16:47:47 [crit] 1980#15580: *6052 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=15c1804c-f153-4bcf-acd0-927adc628ea6&customize_theme=watsonstheme&customize_messenger_channel=preview-1&customize_autosaved=on"
2023/10/17 16:47:47 [crit] 1980#15580: *6052 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=15c1804c-f153-4bcf-acd0-927adc628ea6&customize_theme=watsonstheme&customize_messenger_channel=preview-1&customize_autosaved=on"
2023/10/17 16:47:47 [crit] 1980#15580: *6077 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=15c1804c-f153-4bcf-acd0-927adc628ea6&customize_theme=watsonstheme&customize_messenger_channel=preview-1&customize_autosaved=on"
2023/10/17 16:47:47 [crit] 1980#15580: *6077 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=15c1804c-f153-4bcf-acd0-927adc628ea6&customize_theme=watsonstheme&customize_messenger_channel=preview-1&customize_autosaved=on"
2023/10/17 16:53:23 [crit] 1980#15580: *6596 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=0756da82-75a0-43c1-b4cb-692009471f43&customize_theme=watsonstheme&customize_messenger_channel=preview-1&customize_autosaved=on"
2023/10/17 16:53:23 [crit] 1980#15580: *6596 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=0756da82-75a0-43c1-b4cb-692009471f43&customize_theme=watsonstheme&customize_messenger_channel=preview-1&customize_autosaved=on"
2023/10/17 16:53:23 [crit] 1980#15580: *6620 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=0756da82-75a0-43c1-b4cb-692009471f43&customize_theme=watsonstheme&customize_messenger_channel=preview-1&customize_autosaved=on"
2023/10/17 16:53:23 [crit] 1980#15580: *6620 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/?customize_changeset_uuid=0756da82-75a0-43c1-b4cb-692009471f43&customize_theme=watsonstheme&customize_messenger_channel=preview-1&customize_autosaved=on"
2023/10/17 16:54:48 [crit] 1980#15580: *6686 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/"
2023/10/17 16:54:48 [crit] 1980#15580: *6686 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/"
2023/10/17 16:54:50 [crit] 1980#15580: *6694 GetFileAttributesEx() "C:/Users/skelo/Local Sites/watsonswp/app/public/<br" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cbr HTTP/1.0", host: "watsonswp.local", referrer: "http://watsonswp.local/"
